DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
"66978",66978,Mk10,DS,4,0,0,89,89,00:50:01 04-May-2014,K,2,61.85277939,-177.87167358,,,,,401677253,,
"66978",66978,Mk10,DS,5,0,1,111,89,01:05:18 04-May-2014,P,2,61.84916687,-177.88555908,,,,,401677249,,
"66978",66978,Mk10,DS,1,0,0,,,01:24:53 04-May-2014,L,B,61.84944534,-177.87971497,,,,,401677247,,
"66978",66978,Mk10,DS,5,0,0,133,89,02:22:08 04-May-2014,N,1,61.83333206,-177.90611267,,,,,401677251,,
"66978",66978,Mk10,DS,6,0,1,89,89,02:29:24 04-May-2014,K,3,61.83833313,-177.89472961,,,,,401677252,,
"66978",66978,Mk10,DS,1,0,0,,,04:00:38 04-May-2014,N,B,61.83055496,-177.88694763,,,,,401677243,,
"66978",66978,Mk10,DS,4,0,0,89,89,04:08:47 04-May-2014,K,3,61.83111191,-177.89860535,,,,,401677244,,
"66978",66978,Mk10,DS,1,0,0,,,05:11:50 04-May-2014,A,B,61.82583237,-177.88360596,,,,,401677264,,
"66978",66978,Mk10,DS,3,0,1,89,89,05:22:13 04-May-2014,R,A,61.82749939,-177.92222595,,,,,401677256,,
"66978",66978,Mk10,DS,4,0,1,118,89,06:18:35 04-May-2014,L,2,61.82888794,-177.94471741,,,,,401677264,,
"66978",66978,Mk10,DS,6,0,2,113,45,06:45:46 04-May-2014,A,1,61.81027603,-177.99499512,,,,,401677286,,
"66978",66978,Mk10,DS,4,0,0,142,43,07:02:27 04-May-2014,R,0,61.82777786,-177.98554993,,,,,401677306,,
"66978",66978,Mk10,DS,2,0,0,240,240,07:45:50 04-May-2014,B,B,61.82055664,-177.99916077,,,,,401677310,,
"66978",66978,Mk10,DS,3,0,0,182,112,07:55:19 04-May-2014,L,A,61.81750107,-177.98416138,,,,,401677317,,
"66978",66978,Mk10,DS,2,0,0,214,214,08:27:54 04-May-2014,A,B,61.81750107,-177.98666382,,,,,401677315,,
"66978",66978,Mk10,DS,3,0,1,192,189,09:27:17 04-May-2014,B,2,61.83972168,-177.86305237,,,,,401677319,,
"66978",66978,Mk10,DS,6,0,2,79,59,09:42:59 04-May-2014,L,2,61.85166550,-177.85694885,,,,,401677319,,
"66978",66978,Mk10,DS,4,0,1,100,44,10:06:34 04-May-2014,A,2,61.85055542,-177.85472107,,,,,401677321,,
"66978",66978,Mk10,DS,1,0,0,,,00:25:34 05-May-2014,K,B,61.95416641,-177.31582642,,,,,401677269,,
"66978",66978,Mk10,DS,5,0,0,111,89,00:28:32 05-May-2014,N,3,61.80583191,-177.82527161,,,,,401677230,,
"66978",66978,Mk10,DS,7,0,1,103,89,00:49:18 05-May-2014,P,1,61.81000137,-177.83222961,,,,,401677212,,
"66978",66978,Mk10,DS,2,0,2,178,178,00:50:47 05-May-2014,B,B,61.80972290,-177.82943726,,,,,401677207,,
"66978",66978,Mk10,DS,4,0,0,118,89,01:11:33 05-May-2014,L,1,61.81000137,-177.81222534,,,,,401677192,,
"66978",66978,Mk10,DS,3,0,0,89,89,01:33:48 05-May-2014,A,A,61.80694580,-177.81333923,,,,,401677190,,
"66978",66978,Mk10,DS,7,0,3,103,89,02:00:30 05-May-2014,K,3,61.80527878,-177.82833862,,,,,401677209,,
"66978",66978,Mk10,DS,7,0,1,103,89,02:10:02 05-May-2014,N,1,61.80805588,-177.80139160,,,,,401677211,,
"66978",66978,Mk10,DS,4,0,2,89,89,02:35:21 05-May-2014,P,1,61.81111145,-177.81111145,,,,,401677218,,
"66978",66978,Mk10,DS,3,0,1,89,89,02:47:58 05-May-2014,L,A,61.80805588,-177.82804871,,,,,401677223,,
"66978",66978,Mk10,DS,6,0,1,106,89,03:41:51 05-May-2014,K,0,61.79722214,-177.81944275,,,,,401677234,,
"66978",66978,Mk10,DS,3,0,0,89,89,03:48:47 05-May-2014,N,3,61.79999924,-177.80694580,,,,,401677237,,
"66978",66978,Mk10,DS,4,0,2,178,178,04:52:34 05-May-2014,A,B,61.81111145,-177.79194641,,,,,401677238,,
"66978",66978,Mk10,DS,2,0,1,89,89,05:28:54 05-May-2014,K,B,61.79722214,-177.74221802,,,,,401677253,,
"66978",66978,Mk10,DS,1,0,1,,,05:31:08 05-May-2014,N,B,61.80138779,-177.76527405,,,,,401677260,,
"66978",66978,Mk10,DS,1,0,0,,,05:44:29 05-May-2014,B,B,61.81611252,-177.69250488,,,,,401677281,,
"66978",66978,Mk10,DS,4,0,2,194,105,06:06:25 05-May-2014,L,1,61.77222061,-177.86111450,,,,,401677301,,
"66978",66978,Mk10,DS,4,0,0,126,44,06:30:24 05-May-2014,A,1,61.78027725,-177.81805420,,,,,401677314,,
"66978",66978,Mk10,DS,5,0,1,130,44,06:31:39 05-May-2014,R,2,61.78610992,-177.81860352,,,,,401677314,,
"66978",66978,Mk10,DS,1,0,0,,,07:43:03 05-May-2014,L,B,61.77222061,-177.86111450,,,,,401677316,,
"66978",66978,Mk10,DS,1,0,1,,,11:29:27 05-May-2014,R,B,61.77833176,-177.83193970,,,,,401677296,,
"66978",66978,Mk10,DS,1,0,1,,,11:31:48 05-May-2014,A,B,61.78861237,-177.76889038,,,,,401677313,,
"66978",66978,Mk10,DS,1,0,1,,,12:59:32 05-May-2014,P,B,61.79499817,-177.71305847,,,,,401677333,,
"66978",66978,Mk10,DS,1,0,1,,,12:59:32 05-May-2014,R,B,61.79750061,-177.72639465,,,,,401677301,,
"66978",66978,Mk10,DS,1,0,1,,,14:06:13 05-May-2014,K,B,61.80083466,-177.68527222,,,,,401677323,,
"66978",66978,Mk10,DS,3,0,0,184,148,14:19:01 05-May-2014,N,A,61.82888794,-177.56639099,,,,,401677310,,
"66978",66978,Mk10,DS,4,0,0,118,89,15:49:15 05-May-2014,K,2,61.85222244,-177.52499390,,,,,401677300,,
